name,iata,icao,country
C&M Airways,,RWG,United States
C.S.P.,,RMU,AIR-MAUR
CABI,,CBI,Ukraine
CAI,,CPI,Italy
CAL Cargo Air Lines,5C,ICL,Israel
CAM Air Management,,CMR,United Kingdom
CATA L,,CTZ,Argentina
CCF Manager Airline,,CCF,Germany
CEDTA (Compania Ecuatoriana De Transportes Aereos),,CED,Ecuador
CHC Denmark,,HBI,Denmark
CHC Helicopters,,HEM,Australia
CHC Airways,AW,SCH,Netherlands
CHC Helikopter Service,,HKS,Norway
CI-Tours,,VCI,Ivory Coast
CKC Services,,CKC,United States
CM Stair,,CMZ,Mauritania
CNET,,CNT,France
COAPA AIR,,OAP,Mexico
COMAV,,PDR,Namibia
CRI Helicopters Mexico,,CRH,Mexico
CSA Air,,IRO,United States
CSE Aviation,,CSE,United Kingdom
CTK Network Aviation,,CTQ,Ghana
Cabair College of Air Training,,CBR,United Kingdom
Cabo Verde Express,,CVE,Cape Verde
Caernarfon Airworld,,CWD,United Kingdom
Cairo Air Transport Company,,CCE,Egypt
Cal Gulf Aviation,,CGC,Sao Tome and Principe
Cal-West Aviation,,REZ,United States
California Air Shuttle,,CSL,United States
Calima Aviacion,XG,CLI,Spain
Calm Air,MO,CAV,Canada
Camai Air,R9,CAM,United States
Cambodia Airlines,,KHM,Cambodia
Cameroon Airlines,UY,UYC,Cameroon
Campania Helicopteros De Transporte,,HSO,Spain
CanJet,C6,CJA,Canada
Canada Jet Charters,,PIL,Canada
Canadian Airlines,CP,CDN,Canada
Canadian Coast Guard,,CTG,Canada
Canadian Eagle Aviation,,HIA,Canada
Canadian Forces,,CFC,Canada
Canadian Global Air Ambulance,,BZD,Canada
Canadian Helicopters,,CDN,Canada
Canadian Interagency Forest Fire Centre,,TKR,Canada
Canadian National Telecommunications,,XNC,Canada
Canadian North,5T,MPE,Canada
Canadian Regional Airlines,,CDR,Canada
Canadian Warplane Heritage Museum,,CWH,Canada
Canadian Western Airlines,W2,CWA,Canada
Canair,,CWW,China
Cancun Air,,CUI,Mexico
Cape Air,9K,KAP,United States
Cape Air Transport,,CTO,Australia
Cape Central Airways,,SEM,United States
Cape Smythe Air,,CMY,United States
Capital Air Service,,CPX,United States
Capital Airlines,,CPD,Kenya
Capital Airlines Limited,,NCP,Nigeria
Capital Cargo International Airlines,PT,CCI,United States
Capital City Air Carriers,,CCQ,United States
Capital Trading Aviation,,EGL,United Kingdom
Capitol Air Express,,CEX,United States
Capitol Wings Airline,,CWZ,United States
Caravan Air,,VAN,Mauritania
Cardiff Wales Flying Club,,CWN,United Kingdom
Cardinal/Air Virginia,,FVA,United States
Cardolaar,,GOL,Namibia
Cards Air Services,,CDI,Philippines
Care Flight,,CFH,Australia
Carga Aerea Dominicana,,CDM,Dominican Republic
Carga Express Internacional,,EST,Mexico
Cargo 360,GG,GGC,United States
Cargo Express,,MCX,Mauritania
Cargo Ivoire,,CRV,Ivory Coast
Cargo Link (Caribbean),,CLM,Barbados
Cargo Three,,CTW,Panama
Cargoitalia,2G,CRG,Italy
Cargojet Airways,W8,CJT,Canada
Cargolux,CV,CLX,Luxembourg
Cargoman,,CGM,Oman
Carib Aviation,,DEL,Antigua and Barbuda
Carib Express,,BCB,Barbados
Caribair,,CBC,Dominican Republic
Caribbean Air Cargo,,DCC,Barbados
Caribbean Air Transport,,CLT,Netherlands
Caribbean Airlines,BW,BWA,Trinidad and Tobago
Caribbean Airways,,IQQ,Barbados
Caribbean Express,,TLC,United States
Caribbean Star Airlines,8B,GFI,Antigua and Barbuda
Caribintair,,CRT,Haiti
Carill Aviation,,CVG,United Kingdom
Carpatair,V3,KRP,Romania
Carranza,,CRR,Chile
Carroll Air Service,,ULS,United States
Casement Aviation,,CMT,United States
Casino Airline,,CSO,United States
Casper Air Service,,CSP,United States
Caspian Airlines,RV,CPN,Iran
Castle Aviation,,CSJ,United States
Cat Aviation,,CAZ,Switzerland
Catalina Flying Boats,,CBT,United States
Catex,,TEX,France
Cathay Pacific,CX,CPA,Hong Kong SAR of China
Caverton Helicopters,,CJR,Nigeria
Cayman Airways,KX,CAY,Cayman Islands
Cebu Pacific,5J,CEB,Philippines
Cecil Aviation,,CIL,United Kingdom
Cega Aviation,,CEG,United Kingdom
Celtic Airways,,CEC,United Kingdom
Celtic West,,CWE,United Kingdom
Centavia,7N,CNA,Serbia
Cente D'Essais En Vol,,CEV,France
Centennial Airlines,,CNL,United States
Centennial Flight Centre,,CNS,Canada
Center Vol,,CVO,Spain
Center-South,,CTS,Russia
Centrafrican Airlines,,CET,Central African Republic
Central Air Express,,CAX,Democratic Republic of Congo
Central Airlines,,CTL,United States
Central Airways,,CNY,Sierra Leone
Central American Airlines,,ACN,Nicaragua
Central Aviation,,YOG,United States
Central Connect Airlines,,CCG,Czech Republic
Central De Discos De Reynosa,,DRN,Mexico
Central European Airlines,,CMA,Czech Republic
Central Flying Service,,CHA,United States
Central Mongolia Airways,,CEM,Mongolia
Central Mountain Air,,GLR,Canada
Central Queensland Aviation College,,CQC,Australia
Central Skyport,,CSI,United States
Centralwings,C0,CLW,Poland
Centre Airlines,,DTV,United States
Centre of Applied Geodynamica,,CGS,Russia
Centre-Avia,J7,CVC,Russia
Centro De Helicopteros Corporativos,,CCV,Mexico
Centro de Formacion Aeronautica de Canarias,,ACF,Spain
Centurion Air Cargo,WE,CWC,United States
Century Aviation,,URY,Mexico
Century Aviation International,,HAI,Canada
Certified Air Dispatch,,XAD,United States
Cetraca Aviation Service,,CER,Democratic Republic of the Congo
Chabahar Airlines,,IRU,Iran
Chalair Aviation,,CLG,France
Chalk's Ocean Airways,OP,CHK,United States
Challenge Air Transport,,CLS,Germany
Challenge Aviation,,CHS,Australia
Challenge International Airlines,,OFF,United States
AC Challenge Aero,,CHG,Ukraine
Champagne Airlines,,CPH,France
Champion Air,MG,CCP,United States
Chanchangi Airlines,,NCH,Nigeria
Changan Airlines,2Z,CGN,China
Channel Island Aviation,,CHN,United States
Chantilly Air,,WML,United States
Chaparral Airlines,,CPL,United States
Chari Aviation Services,S8,CSU,Chad
Charlan Air Charter,,CAH,South Africa
Charlie Hammonds Flying Service,,HMD,United States
Charlotte Air National Guard,,CGD,United States
Charter Air,,CHW,Austria
Chartright Air,,HRT,Canada
Chautauqua Airlines,RP,CHQ,United States
Cheboksary Airenterprise JSC,,CBB,Russia
Chemech Aviation,,CHM,Pakistan
Cherline,,CHZ,Russia
Chernomor-Avia,,CMK,Russia
Cherokee Express,,CBM,United States
Cherry Air,,CCY,United States
Chesapeake Air Service,,CAB,United States
Chevron U.S.A,,CVR,United States
Cheyenne Airways,,CYA,United States
Chicago Air,,CGO,United States
Chicago Express,C8,WDY,United States
Chief Rat Flight Services,,RAT,South Africa
Chilchota Taxi Aereo,,CCH,Mexico
Chilcotin Caribou Aviation,,DES,Canada
Chilliwack Aviation,,CAD,Canada
Chim-Nir Aviation,,ETN,Israel
China Airlines,CI,CAL,Taiwan
China Cargo Airlines,CK,CKK,China
China Eastern Airlines,MU,CES,China
China Express Airlines,,HXA,China
China Flying Dragon Aviation,,CFA,China
China General Aviation Corporation,,CTH,China
China National Aviation Corporation,,CAG,China
China Northern Airlines,CJ,CBF,China
China Northwest Airlines,WH,CNW,China
China Ocean Helicopter Corporation,,CHC,China
China Postal Airlines,8Y,CYZ,China
China Southern Airlines,CZ,CSN,China
China Southwest Airlines,,CXN,China
China United Airlines,HR,CUA,China
China Xinhua Airlines,XO,CXH,China
Yunnan Airlines,3Q,CYH,China
Chinguetti Airlines,,CGU,Mauritania
Chipola Aviation,,CEP,United States
Chippewa Air Commuter,,CPW,United States
Chitaavia,X7,CHF,Russia
Christman Air System,,CAS,United States
Christophorus Flugrettungsverein,,OEC,Austria
Chrome Air Services,,CHO,United States
Church Aircraft,,CHU,United States
Cielos Airlines,A2,CIU,Peru
Cimber Air,QI,CIM,Denmark
Cirrus,,RRU,Chile
Cirrus Air,,NTS,United States
Cirrus Airlines,C9,RUS,Germany
Cirrus Middle East,,JTI,Lebanon
Citationshares,,FIV,United States
Citibank,,XCX,United States
Citic General Aviation,,HZX,China
City Airline,CF,SDR,Sweden
City Connexion Airlines,G3,CIX,Burundi
City of Bangor,,XBG,United States
CityJet,WX,BCY,Ireland
Cityair (Chester) Limited,,CAQ,United Kingdom
Cityfly,,CII,Italy
BA CityFlyer,CJ,CFE,United Kingdom
Cityline Hungary,,CNB,Hungary
Citylink Airlines,,HSR,United States
Civair Airways,,CIW,South Africa
Civil Air Patrol South Carolina Wing,,BKR,United States
Civil Air Transport,CT,CAT,Taiwan
Civil Aviation Authority,,CIA,Slovakia
Civil Aviation Authority of New Zealand,,CIV,New Zealand
Civil Aviation Inspectorate of the Czech Republic,,CBA,Czech Republic
Claessens International Limited,,FMC,United Kingdom
Clark Aviation,,CLK,United States
Clasair,,CSF,United Kingdom
Clay Lacy Aviation,,CLY,United States
Click Airways,,CGK,Kyrgyzstan
Cloud 9 Air Charters,,CLZ,South Africa
Clowes Estates Limited,,CLD,United Kingdom
Club 328,,SDJ,United Kingdom
Club Air,6P,ISG,Italy
Coast Air,BX,CST,Norway
Coastal Air,DQ,,United States
Coastal Air Transport,,TCL,United States
Coastal Airways,,CNG,United States
Coastal Travels,,CSV,Tanzania
Cohlmia Aviation,,CHL,United States
Colaereos,,OLR,Ecuador
Colemill Enterprises,,CLE,United States
Colgan Air,9L,CJC,United States
Colibri Aviation,,CAE,Canada
Colt International,,CCX,United States
Columbia Airlines,,COL,Canada
Columbia Helicopters,,WCO,United States
Columbus Air Transport,,KLR,United States
Colvin Aviation,,GHP,United States
Comair,OH,COM,United States
Comair,MN,CAW,South Africa
Comed Group,,CDE,United Kingdom
Comeravia,,CVV,Venezuela
Comercial Aerea,,CRS,Mexico
Comet Airlines,,CMG,Nigeria
Comfort Air,,FYN,Germany
Comlux Aviation,,CLA,Switzerland
Commair Aviation,,CMH,United Kingdom
Commandement Du Transport Aerien Militaire Francais,,CTM,France
Commander Air Charter,,CML,Canada
Commander Mexicana,,CRM,Mexico
Commercial Aviation,,CMS,Canada
Commodore Aviation,,GAR,Australia
Commonwealth Jet Service,,CJS,United States
CommutAir,C5,UCA,United States
Comores Airlines,KR,CWK,Comoros
Compagnia Generale Ripreseaeree,,CGR,Italy
Compagnie Aerienne du Mali,,CMM,Mali
Compagnie Mauritanienne Des Transports,,CPM,Mauritania
Compagnie de Bauxites de Guinee,,GIC,Guinea
Compania Aerea de Valencia,,AIF,Spain
Compania Aerotecnicas Fotograficas,,ATF,Spain
Compania Boliviana de Transporte Aereo Privado Aerosur,,ASU,ASUR
Compania De Actividades Y Servicios De Aviacion,,LCT,Spain
Compania Ejecutiva,,EJV,Mexico
Compania Helicopteros Del Sureste,,HSE,Spain
Compania Mexicana De Aeroplanos,,MDR,Mexico
Compania Mexicargo,GJ,MXC,Mexico
Compania Transportes Aereos Del Sur,,HSS,Spain
Compania de Servicios Aereos Tavisa,,TAV,Spain
Company Flight,,CYF,Denmark
Compass Airlines,CP,CPZ,United States
Compass International Airways,,CPS,United Kingdom
Compuflight Operations Service,,XCO,United States
Compuserve Incorporated,,XCS,United States
Conair Aviation,,CRC,Canada
Concordavia,,COD,Ukraine
Condor Aero Services,,CNR,United States
Condor,,CIB,Germany
Condor Flugdienst,DE,CFG,Germany
Confort Air,,COF,Canada
Congo Air,,CAK,Bahamas
Congressional Air,,CGA,United States
Conifair Aviation,,ROY,Canada
Connectair Charters,,BSN,Canada
Conquest Airlines,,CAC,United States
Conroe Aviation Services,,CXO,United States
Consorcio Aviaxsa,6A,CHP,Mexico
Consorcio Helitec,,VCH,Venezuela
Constanta Airline,,UZA,Ukraine
Contact Air,C3,KIS,Germany
Contel ASC,,XCL,United States
Continental Airlines,CO,COA,United States
Continental Airways,PC,PVV,Russia
Continental Express,CO,,United States
Continental Micronesia,CS,CMI,United States
Continental Oil,,CON,United States
Conviasa,V0,VCV,Venezuela
Cook Inlet Aviation,,CKA,United States
Cooper Aerial Surveys,,SVY,United Kingdom
Copa Airlines,CM,CMP,Panama
Copenhagen Airtaxi,,CAT,Denmark
Copper State Air Service,,COP,United States
Copterline,,AAQ,Finland
Coptrade Air Transport,,CCW,Sudan
Corendon Airlines,,CAI,Turkey
Coronado Aerolineas,,CRA,Colombia
Corpac Canada,,CPB,Canada
Corporacion Aereo Cencor,,CNC,Mexico
Corporacion Aeroangeles,,CPG,Mexico
Corporacion Paraguaya De Aeronautica,,CGY,Paraguay
Corporate Air,,CPT,United States
Corporate Air,,CPR,United States
Corporate Aircraft Company,,CPO,United States
Corporate Airlink,,COO,Canada
Corporate Aviation Services,,CKE,United States
Corporate Flight International,,VHT,United States
Corporate Flight Management,,VTE,United States
Corporate Jets,,CJI,United States
Corsairfly,SS,CRL,France
Corse-Mediterranee,XK,CCM,France
Cosmic Air,F5,COZ,Nepal
Cougar Helicopters,,CHI,Canada
Coulson Flying Service,,MGB,United Kingdom
Country Connection Airlines,,NSW,Australia
Country International Airlines,,CIK,Kyrgyzstan
Courier Services,,CSD,United States
Court Helicopters,,CUT,South Africa
Coval Air,,CVL,Canada
Cowi,,COW,Netherlands
Coyne Aviation,,COY,United Kingdom
Cranfield University,,CFD,United Kingdom
Cree Airways,,CRE,Canada
Crelam,,ELM,Mexico
Crest Aviation,,CAN,United Kingdom
Crimea Universal Avia,,KRM,Ukraine
Croatia Airlines,OU,CTN,Croatia
Croatian Air Force,,HRZ,Croatia
Cross Aviation,,CRX,United Kingdom
Crossair Europe,QE,ECC,Switzerland
Crow Executive Air,,CWX,United States
Crown Air Systems,,CKR,United States
Crown Airways,,CRO,United States
Crownair,,CRW,Canada
Cruiser Linhas Aereas,,VCR,Brazil
Cryderman Air Service,,CTY,United States
Crystal Shamrock,,CYT,United States
Cubana de Aviación,CU,CUB,Cuba
Cumberland Airways (Nicholson Air Service),,CBL,United States
Custom Air Transport,,CTT,United States
Cygnus Air,,RGN,Spain
Cyprair Tours,,CYC,Cyprus
Cypress Airlines,,CYS,Canada
Cyprus Airways,CY,CYP,Cyprus
Cyprus Turkish Airlines,YK,,Turkey
Czech Air Force,,CEF,Czech Republic
Czech Air Handling,,AHD,Czech Republic
Czech Airlines,OK,CSA,Czech Republic
Czech Government Flying Service,,CIE,Czech Republic
D & D Aviation,,DDA,United States
D&K Aviation,,DNK,United States
DAP Helicopteros,,DHE,Chile
DFS UK Limited,,VLF,United Kingdom
DAS Air Cargo,WD,DSR,Uganda
DAS Airlines,,RKC,Democratic Republic of the Congo
DAT Danish Air Transport,DX,DTR,Denmark
DAT Enterprise Limited,,ENT,United Kingdom
DERA Boscombe Down,,BDN,United Kingdom
DESNA,,DSN,Ukraine
DETA Air,,DET,Kazakhstan
DGO Jet,,DGO,Mexico
DHL Aero Expreso,,DAE,Panama
DHL Air,,DHK,United Kingdom
DHL Aviation,,DHV,South Africa
DHL International,ES,DHX,Bahrain
DHL de Guatemala,L3,JOS,Guatemala
DSWA,,RSK,United States
Daallo Airlines,D3,DAO,Djibouti
Dagestan Airlines,N2,DAG,Russia
Dahla Airlines,,DHA,Democratic Republic of Congo
Daimler Chrysler Aviation,,DCS,Germany
Daimler-Chrysler,,DCX,United States
Daka,,DKA,Kazakhstan
Dala Air Services,,DLR,Nigeria
Dalavia,H8,KHB,Russia
Dallas Express Airlines,,DXP,United States
Damascene Airways,,DAS,Syrian Arab Republic
Danbury Airways,,DSA,United States
Dancopter,,DOP,Denmark
Danish Air Force,,DAF,Denmark
Danish Army,,DAR,Denmark
Danish Navy,,DNY,Denmark
Danu Oro Transportas,,DNU,Lithuania
Darta,,DRT,France
Darwin Airline,0D,DWT,Switzerland
Dasab Airlines,,DSQ,Uganda
Dash Air Charter,,DSH,United States
Dash Aviation,,GOB,United Kingdom
Dasnair,,DGX,Switzerland
Dassault Aviation,,DAB,France
Dassault Falcon Jet Corporation,,CVF,United States
Dassault Falcon Service,,DSO,France
Data International,,DTN,Sudan
Date Transformation Corp,,XDT,United States
Dauair,D5,DAU,Germany
David Crawshaw Consultants Limited,,DCO,United Kingdom
Dawn Air,,DWN,United States
DayJet,,DJS,United States
Daya Aviation,,DAY,Sri Lanka
De Havilland,,DHC,Canada
Deadalos Flugtbetriebs,,IAY,Austria
Decatur Aviation,,DAA,United States
Deccan Aviation,,DKN,India
Deccan Aviation (Lanka),,DLK,Sri Lanka
Deer Jet,,DER,China
Deere and Company,,JDC,United States
Delaware Skyways,,DWR,United States
Delta Aerotaxi,,DEA,Italy
Delta Air Charter,,SNO,Canada
Delta Air Elite,,ELJ,United States
Delta Air Lines,DL,DAL,United States
Delta Engineering Aviation,,KMB,United Kingdom
Delta Express International,,DLI,Ukraine
Delta State University,,DSU,United States
Denim Air,,DNM,Netherlands
Denver Express,,FEC,United States
Denver Jet,,DJT,United States
Departmento De Agricultura De La Generalitat De Cataluna,,FGC,Spain
Deraya Air Taxi,,DRY,Indonesia
Des R Cargo Express,,DRX,Mauritania
Desarrollo Milaz,,MIZ,Mexico
Destiny Air Services,,DTY,Sierra Leone
Deutsche Bahn,2A,,Germany
Deutsche Rettungsflugwacht,1I,AMB,Germany
Deutsches Zentrum fur Luft-und Raumfahrt EV,,LFO,Germany
Di Air,,DIS,Serbia
Diamond Aviation,,SPK,United States
Didier Rousset Buy,,DRB,Chile
Digital Equipment Corporation,,DGT,United States
Dinar,D7,RDN,Argentina
Diplomatic Freight Services,,DIP,United Kingdom
Direccion General de Aviacion Civil y Telecomunicasciones,,ENA,Spain
Direct Air,,DIA,United States
Direct Air trading as Midway Connection,,XAP,United States
Direct Flight,,DCT,United Kingdom
Sky Express,,SXP,Poland
Dirgantara Air Service,AW,DIR,Indonesia
Discover Air,,DCV,United States
Discovery Airways,DH,DVA,United States
Dispatch Services,,XDS,United States
Dix Aviation,,DIX,Germany
Dixie Airways,,DEE,United States
Djibouti Airlines,D8,DJB,Djibouti
Dniproavia,,UDN,Ukraine
Flying Dolphin Airlines,,FDN,United Arab Emirates
Dolphin Express Airlines,,IXX,United States
Dome Petroleum,,DPL,Canada
Dominguez Toledo (Grupo Mayoral),,MYO,Spain
Dominicana de Aviaci,DO,DOA,Dominican Republic
Domodedovo Airlines,E3,DMO,Russia
Don Avia,,DVB,Kazakhstan
Donair Flying Club,,DON,United Kingdom
DonbassAero,5D,UDC,Ukraine
Dorado Air,,DAD,Dominican Republic
Dornier,,DOR,Germany
Dornier Aviation Nigeria,,DAV,Nigeria
Dos Mundos,,DOM,Dominican Republic
Dragonair,KA,HDA,DRAGON
Dreamcatcher Airways,,DCA,United Kingdom
Druk Air,KB,DRK,Bhutan
Drummond Island Air,,DRE,United States
Dubai Airwing,,DUB,United Arab Emirates
Dubrovnik Air,,DBK,Croatia
Ducair,,DUK,Luxembourg
Duchess of Britany (Jersey) Limited,,DBJ,United Kingdom
UK Royal/HRH Duke of York,,LPD,United Kingdom
Dun'Air,,DUN,Mauritania
Duncan Aviation,,PHD,United States
Dunyaya Bakis Hava Tasimaciligi,,VVF,Turkey
Duo Airways,,DUO,United Kingdom
Durango Jet,,DJE,Mexico
Dutch Antilles Express,,DNL,Netherlands Antilles
Dutch Caribbean Express,,DCE,Netherlands Antilles
Dutchbird,,DBR,Netherlands
Dwyer Aircraft Services,,DFS,United States
Dynair Services,,XDY,United States
Dynamair Aviation,,DNR,Canada
Dynamic Air,,DYE,Netherlands
dba,DI,BAG,Germany
E H Darby Aviation,,EHD,United States
Electronic Data Systems,1C,,Switzerland
Electronic Data Systems,,1Y,
EAA Escola De Aviacao Aerocondor,,EAD,Portugal
Executive Airlines Services,,EXW,Nigeria
EFAOS- Agencia De Viagens e Turismo,,EFS,Angola
EFD Eisele Flugdienst,,EFD,Germany
EFS-Flugservice,,FSD,Germany
EIS Aircraft,,EIS,Germany
EPAG Groupe Air France,,IAG,France
ESI Eliservizi Italiani,,ESI,Italy
EU Airways,,EUY,Ireland
EUjet,VE,EUJ,Ireland
EVA Air,BR,EVA,Taiwan
Eagle Aero,,ICR,United States
Eagle Air,,EGR,Sierra Leone
Eagle Air,H7,,Uganda
Eagle Air Company,,EGX,Thailand
Eagle Air Iceland,,FEI,Iceland
Eagle Aviation,,EGU,Uganda
Eagle Aviation,,GYP,United Kingdom
Eagle Aviation France,,EGN,France
Eagle International,,SEG,Senegal
Eagle Jet Charter,,EGJ,United States
Eaglemed (Ballard Aviation),,EMD,United States
Earth Airlines Services,,ERX,Nigeria
East African,QU,UGX,Uganda
East African Safari Air,S9,HSA,Kenya
East African Safari Air Express,,EXZ,Kenya
East Asia Airlines,,EMU,Macao
East Coast Airways,,ECT,South Africa
East Coast Jets,,ECJ,United States
East Hampton Aire,,EHA,United States
East Kansas City Aviation,,EKC,United States
East Midlands Helicopters,,CTK,United Kingdom
East Star Airlines,,DXH,China
East-West Airlines,,EWA,Australia
Eastern Air,,EAZ,Zambia
Eastern Air Executive,,EAX,United Kingdom
Eastern Airways,T3,EZE,United Kingdom
Eastern Australia Airlines,,EAQ,Australia
Eastern Carolina Aviation,,ECI,United States
Eastern Executive Air Charter,,GNS,United Kingdom
Eastern Express,,LIS,Kazakhstan
Eastern Metro Express,,EME,United States
Eastern Pacific Aviation,,EPB,Canada
Eastern Sky Jets,,ESJ,United Arab Emirates
Eastland Air,DK,ELA,Australia
Eastwind Airlines,W9,SGR,United States
Easy Link Aviation Services,,FYE,Nigeria
Eckles Aircraft,,CMN,United States
Eclipse Aviation,,EJT,United States
Eco Air,,ECQ,Nigeria
Ecoair,,DEI,Algeria
Ecomex Air Cargo,,ECX,Angola
Ecotour,,ECD,Mexico
Ecoturistica de Xcalak,,XCC,Mexico
Ecuatoguineana De Aviacion (EGA),,ECV,Equatorial Guinea
Ecuatorial Cargo,,EQC,Equatorial Guinea
Ecuavia,,ECU,Ecuador
Edelweiss Air,WK,EDW,Switzerland
Edgartown Air,,SLO,United States
Edinburgh Air Charter,,EDC,United Kingdom
Edwards Jet Center of Montana,,EDJ,United States
Efata Papua Airlines,,EIJ,Indonesia
Egyptair,MS,MSR,Egypt
Egyptair Cargo,,MSX,Egypt
Egyptian Air Force,,EGY,Egypt
Egyptian Aviation,,EJX,Egypt
Egyptian Aviation Company,,EMA,Egypt
Ei Air Exports,,EIX,Ireland
Eirjet,,EIR,Ireland
El Al Israel Airlines,LY,ELY,Israel
El Caminante Taxi Aereo,,CMX,Mexico
El Quilada International Aviation,,GLQ,Sudan
El Sal Air,,ELS,El Salvador
El Sol De America,,ESC,Venezuela
El-Buraq Air Transport,UZ,BRQ,Libya
Elan Express,,ELX,United States
Elbe Air Transport,,LBR,Germany
Elbrus-Avia Air Enterprise,,NLK,Russia
Eldinder Aviation,,DND,Sudan
Elicar,,PDV,Italy
Elidolomiti,,EDO,Italy
Elieuro,,ELB,Italy
Elifriulia,,EFG,Italy
Elilario Italia,,ELH,Italy
Elilombarda,,EOA,Italy
Elimediterranea,,MEE,Italy
Elios,,VUL,Italy
Elipiu',,IEP,Italy
Elisra Airlines,,RSA,Sudan
Elite Air,,EAI,Togo
Elite Jets,,EJD,United Arab Emirates
Elitellina,,FGS,Italy
Elliott Aviation,,ELT,United States
Elmagal Aviation Services,,MGG,Sudan
Elrom Aviation and Investments,,ELR,Israel
Embassy Airlines,,EAM,Nigeria
Embassy Freight Company,,EFT,United States
Empresa Brasileira De Aeronautica,,EMB,Brazil
Embry-Riddle Aeronautical University,,XSL,United States
Emerald Airways,,JEM,United Kingdom
Emery Worldwide Airlines,,EWW,United States
Emetebe,,EMT,Ecuador
Emirates,EK,UAE,United Arab Emirates
Emoyeni Air Charter,,SBC,South Africa
Empire Air Service,,EMP,United States
Empire Airlines,EM,CFS,United States
Empire Aviation Services,,MPR,Nigeria
Empire Test Pilots' School,,ETP,United Kingdom
Empresa (Aero Uruguay),,AUO,UNIFORM OSCAR
Empresa Aero-Servicios Parrague,,PRG,Chile
Empresa Aerocaribbean,,CRN,Cuba
Empresa Aviacion Interamericana,,VNA,Uruguay
Empresa Ecuatoriana De Aviacion,EU,EEA,Ecuador
Empresa Nacional De Servicios Aereos,,CNI,Cuba
Empresa Venezolana,,VNE,Venezuela
Empresa de Aviacion Aerogaviota,,GTV,Cuba
Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero,,XLT,Brazil
Endecots,,ENC,Ecuador
Enimex,,ENI,Estonia
Enkor JSC,G8,ENK,Russia]]
Enrique Gleisner Vivanco,,EGV,Chile
Ensenada Vuelos Especiales,,ESE,Mexico
Entergy Services,,ENS,United States
Enterprise World Airways,,EWS,Democratic Republic of the Congo
Eos Airlines,E0,ESS,United States
Equaflight Service,,EKA,Republic of the Congo
Equatair Air Services (Zambia),,EQZ,Zambia
Equatorial Airlines,,EQT,Equatorial Guinea
Era Helicopters,,ERH,United States
Eram Air,,IRY,Iran
Erfoto,,ERF,Portugal
Erie Airways,,ERE,United States
Eritrean Airlines,B8,ERT,Eritrea
Escuela De Pilotos Are Aviacion,,CTV,Spain
Espace Aviation Services,,EPC,Democratic Republic of the Congo
Esso Resources Canada,,ERC,Canada
Estafeta Carga Aerea,E7,ESF,Mexico
Estonian Air,OV,ELL,Estonia
Estrellas Del Aire,,ETA,Mexico
Ethiopian Airlines,ET,ETH,Ethiopia
Eti 2000,,MJM,Italy
Etihad Airways,EY,ETD,United Arab Emirates
Etram Air Wing,,ETM,Angola
Euraviation,,EVN,Italy
Euro Continental AIE,,ECN,Spain
Euro Exec Express,RZ,,Sweden
Euro Sun,,ESN,Turkey
Euro-Asia Air,,EAK,Kazakhstan
Euro-Asia Air International,,KZE,Kazakhstan
EuroAtlantic Airways,MM,MMZ,Portugal
EuroJet Aviation,,GOJ,United Kingdom
Euroair,,EUP,Greece
Euroamerican Air,,EUU,Uruguay
Euroceltic Airways,,ECY,United Kingdom
Eurocontrol,,EUC,Belgium
Eurocopter,,ECF,France
Eurocypria Airlines,UI,ECA,Cyprus
Eurofly,,EEZ,Italy
Eurofly Service,GJ,EEU,Italy
Euroguineana de Aviacion,,EUG,Equatorial Guinea
Eurojet Italia,,ERJ,Italy
Eurojet Limited,,JLN,Malta
Eurojet Romania,,RDP,Romania
Eurojet Servis,,EJS,Czech Republic
Eurolot,K2,ELO,Poland
Euromanx Airways,3W,EMX,Austria
Europe Air Lines,,GED,France
Europe Airpost,,FPO,France
European 2000 Airlines,,EUT,Malta
European Aeronautical Group UK,,EAG,United Kingdom
European Air Express,EA,EAL,Germany
European Air Transport,QY,BCS,Belgium
European Aviation Air Charter,E7,EAF,United Kingdom
European Business Jets,,EBJ,United Kingdom
European Coastal Airlines,,ECB,Croatia
European Executive,,ETV,United Kingdom
European Executive Express,,EXC,Sweden
Eurosense,,EBG,Bulgaria
Euroskylink,,ESX,United Kingdom
Eurowings,EW,EWG,Germany
Evergreen International Airlines,EZ,EIA,United States
Everts Air Alaska/Everts Air Cargo,,VTS,United States
Examiner Training Agency,,EMN,United Kingdom
Excel Airways,JN,XLA,United Kingdom
Excel Charter,,XEL,United Kingdom
Excellent Air,,GZA,Germany
Execair Aviation,MB,EXA,Canada
Execujet Charter,,VCN,Switzerland
Execujet Middle East,,EJO,United Arab Emirates
Execujet Scandinavia,,VMP,Denmark
Executive Aerospace,,EAS,South Africa
Executive Air,,LFL,Zimbabwe
Executive Air Charter,,EAC,United States
Executive Air Fleet,,XAF,United States
Executive Aircraft Charter and Charter Services,,ECS,Ireland
Executive Aircraft Services,,XAH,United Kingdom
Executive Airlines,OW,EXK,United States
Executive Airlines,,EXU,Spain
Executive Aviation Services,,JTR,United Kingdom
Executive Flight,,EXE,United States
Executive Flight Operations Ontario Government,,TRI,Canada
Executive Jet Charter,,EXJ,United Kingdom
Executive Jet Management,,EJM,United States
Executive Turbine Aviation,,TEA,South Africa
Eximflight,,EXF,Mexico
